# --
"1 banner for line","1 banner por linha"
"2 banners for line","2 banners por linha"
"3 banners for line","3 banners por linha"
"4 banners for line","4 banners por linha"

# -- A
"All products","Todos os produtos"
"A total of %1 record(s) have been deleted.","%1 registros(s) removidos com sucesso."
"Allow image type: jpg, jpeg, gif, png.<br>Size of images <a href=""https://docs.eloom.tech/store/widgets/sliders#dimensoes-das-imagens"" target=""_blank"">here</a>.","Formatos de imagem permitidos: jpg, jpeg, gif, png.<br><br>Dimensões das imagens <a href=""https://docs.eloom.tech/store/widgets/sliders#dimensoes-das-imagens"" target=""_blank"">aqui</a>."
"Add Item","Adicionar Item"
"Add Slider","Adicionar Slider"

# -- B

# -- C
"Carousel on the left","Carrossel à esquerda"
"Carousel on the right","Carrossel à direita"
"Choose image...","Selecionar imagem..."

# -- D
"Delete successfully!","Removido com sucesso!"
"eloom | Best Sellers","eloom | Mais Vendidos"
"eloom | New Products","eloom | Novos produtos"
"eloom | Banner","eloom | Banner"
"eloom | Carousel","eloom | Carrossel"
"eloom | Carousel + Text Block","eloom | Carrossel + Bloco de texto"
"eloom | On Sale Products","eloom | Produtos em promoção"
"eloom | Products By Category","eloom | Produtos por Categoria"

# -- E

# -- F
"Fixed","Fixo"
"Full Width","Auto Responsive"
"Full Screen","Tela cheia"

# -- I
"Item of Slider","Slider Itens"
"In grid mode.","No modo grid."

# -- K

# -- L
"Opens the linked document in the same frame as it was clicked","Nova página vinculada na mesma janela em que foi clicada"
"Opens the linked document in a new window or tab","Nova página vinculada em uma nova janela"

# -- N
"New products","Novos produtos"
"Number of Products to Display","Total de produtos"
"Number of Products per Page","Total de produtos por página"

# -- O
"On Sale","Em promoção"

# -- P

# -- R
"Responsitive","Personalizado"

# -- S
"Select a slider","Selecione o slider"
"Slider item Information","Item slider"
"Slider Information","Slider"
"Slider width","Largura do slider"
"Slider height","Altura do slider"
"Sort Order","Ordem"

# -- T
"The slider has been saved.","Slider salvo com sucesso."
"The slider item has been saved.","Slider item salvo com sucesso."
"This slider no longer exists.","Slider não encontrado."

# -- U
"Use the same height as the slider images.","Use a mesma altura das imagens do slider."
"Use the same width as the slider images.","Use a mesma largura das imagens do slider."

# -- V
"Viewed Products Carousel Template","Template, em Carrossel, dos produtos visualizados"
"Viewed Products Masonry Template","Template, no Formato Masonry, dos produtos visualizados"

# -- W

# -- Y
"You have to save item and close this window!","Você precisa salvar o item e fechar esta janela!"
